,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,best_node.mean,best_node.sd,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,elite_nn.mean,elite_nn.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,lh_trace,linear_discr.mean,linear_discr.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,naive_bayes.mean,naive_bayes.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,one_nn.mean,one_nn.sd,p_trace,random_node.mean,random_node.sd,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var.mean,var.sd,var_importance.mean,var_importance.sd,w_lambda,worst_node.mean,worst_node.sd
kr-vs-kp,0.022304108689077735,0.047914198393113214,0.5901482912442314,0.33852165095203474,0.011264080100125156,0.4896346003134796,0.12722622572516934,0.799822705868879,,,0.023127951520620096,0.04485412097189406,0.9985755386554581,0.08564411274580874,0.10816677753366805,0.011233690969387276,0.018813149073071057,0.13036745235555647,0.15958667650791936,0.5222159090909091,0.0010062855633715772,52.14062365247289,0.5,0.03141713483369518,,,0.7648853371943694,0.0,0.0,88.77777777777777,0.34210526315789475,0.48078290821993186,1.5695722458045096,0.33197226358857373,105.21100910497158,517.117323381997,57,9.140350877192983,3.1364139924170686,0.017543859649122806,0.041352468469284615,18342.62897102897,45953.416511123316,0.5,0.11164843913471806,1.7755909268749044,0.8901293103448277,0.0748420489267111,0.0,0.0,1.0,0.0,0.2686581911600026,0.2606573616055755,0.18421052631578946,0.3928594520631916,0.0,0.0,0.01915158409517985,0.039187079604421124,0.6117995689655171,0.09875902063785946,56,1.4736842105263157,0.017521902377972465,3.5,2.422120283277993,1.6,0.8116794499134277,36,35,36,2,0.01422475106685633,1,3196,0.0,0,25,29.814594151131466,0.0,0.768487460815047,0.08061087578193946,0.6397163608234154,0.4990840517241379,0.04128559785576328,1.0,0.0,1.7755909268749044,0.3320086451196437,0.14381228878554012,,4.108820349082991,9.629958902688383,0.4952124268243203,0.027786471917927325,0.2248092859886944,0.33379824754058646,8.230088495575222,3.3058628913468753,0.05483274829079429,0.09255899939640364,0.052245558353892545,0.0938697374737551,0.13036745235555558,0.08510043516743938,0.02631578947368421,0.06327489850235693,0.3602836391765846,0.5190732758620691,0.05418812913724416
kr-vs-kp,0.01351666395916295,0.03800415932872835,0.5901482912442314,0.33852165095203474,0.011264080100125156,0.4896346003134796,0.12722622572516934,0.799822705868879,,,0.023127951520620096,0.04485412097189406,0.9985755386554581,0.08564411274580874,0.10816677753366805,0.011233690969387276,0.018813149073071057,0.13036745235555647,0.15958667650791936,0.5222159090909091,0.0010062855633715772,52.14062365247289,0.5,0.03141713483369518,,,0.7648853371943694,0.0,0.0,88.77777777777777,0.34210526315789475,0.48078290821993186,1.5695722458045096,0.33197226358857373,105.21100910497158,517.117323381997,57,9.140350877192983,3.136413992417068,0.017543859649122806,0.04135246846928462,18342.62897102897,45953.416511123316,0.5,0.11164843913471806,1.7755909268749044,0.8901293103448277,0.0748420489267111,0.0,0.0,1.0,0.0,0.2686581911600026,0.2606573616055755,0.18421052631578946,0.3928594520631916,0.0,0.0,0.01915158409517985,0.039187079604421124,0.6117995689655171,0.09875902063785946,56,1.4736842105263157,0.017521902377972465,3.5,2.422120283277993,1.6470588235294117,0.8121185516225344,36,35,36,2,0.01422475106685633,1,3196,0.0,0,25,29.814594151131466,0.0,0.768487460815047,0.08061087578193946,0.6397163608234154,0.4990840517241379,0.04128559785576328,1.0,0.0,1.7755909268749044,0.3320086451196437,0.14381228878554012,,4.108820349082991,9.629958902688383,0.4952124268243203,0.027786471917927325,0.2248092859886944,0.33379824754058646,8.230088495575222,3.3058628913468753,0.05483274829079429,0.09255899939640364,0.052245558353892545,0.0938697374737551,0.13036745235555558,0.08510043516743938,0.02631578947368421,0.0632785926434619,0.3602836391765846,0.4490037225705329,0.10619216112653987
letter,0.03525031799180014,0.05157861754121201,2.974428183442268,0.2553794347937495,0.0008,0.0718,0.0015846485765339596,0.46783509838487336,0.2779188010520901,0.0,0.09957661787136562,0.07452333278406463,4.699810726573159,0.18289592284889153,0.20883400417882106,0.9493679248545761,1.1508098987470188,5.344023546021051,6.297241336632574,0.10555,0.01089457051318071,9.49101886761155,0.03846153846153846,0.0011587327295202881,,,4.932417448237124,0.0,0.0,1250.0,2.625,0.7187952884282609,7.17905385221184,0.4191419398205274,0.6968937761577465,0.6926791152022074,2242,16.117752007136485,4.070711085508887,0.00044603033006244426,0.0018668578585794684,182111910.034009,878339593.8478806,0.038461538461538464,0.009601414019827146,11.901269185025052,0.7016499999999999,0.013705331484904387,2.038575,0.7413,15.0,0.0,5.925465625,1.821919546588044,5.75,1.9148542155126762,0.0,0.0,0.4951850578035869,0.3199190034558556,0.6417999999999999,0.010462100914995802,2241,140.0625,0.11205,80.03571428571429,73.92011811701781,140.0625,36.48281558944338,16,0,0,26,0.125,16,20000,0.0,16,15,5.006700195348105,,0.9602499999999999,0.00510582456068012,4.660497768166015,0.057300000000000004,0.002394437999475729,15.0,0.0,3.7301543045197,2.2737711454464016,0.43079872999677876,1.842830622222104,0.29025349099817976,0.47008955142812014,0.06245312265613281,0.0,5.841932291666668,1.917117566097495,15.121570376979701,4.301830296117761,0.03679207585912565,0.05257218467289803,0.003270358149623573,0.013870067022279107,5.344023546021051,2.054561793859141,0.0625,0.04113879594040519,0.0009799904126736624,0.0504,0.002092313976863361
balance-scale,-6.250002346150688e-08,0.0,2.3219280948873626,0.0,0.0064,0.44631336405529953,0.10905797510939964,0.42392735119707764,0.5638095238095235,0.0,0.0437559133543309,0.0,1.318116246441582,0.0,0.0,0.0,0.0,2.003205128205128,0.0,0.4512288786482335,0.05349105516089875,9.73829735250785,0.3333333333333333,0.2207787429381129,2.6051710846973517,0.0,1.2190676701606842,2.1897810218978107,2.5639502485114184e-16,156.25,2.0,0.0,3.5046904700382786,0.0,-1.3054356480000002,0.0,161,8.111801242236025,1.4534174762429573,0.006211180124223602,0.014286641460595365,7467.009523809523,5244.848072517293,0.3333333333333333,0.025859204962312192,2.0934748087709445,0.854531490015361,0.058575718381658655,1.4826,0.0,5.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.13535387129066612,0.0,0.8415770609318995,0.09569404049394797,160,40.0,0.256,16.0,11.944315244779277,40.0,5.477225575051661,4,0,0,3,0.0,2,625,0.0,4,0,16.15450081144063,,0.7026881720430107,0.06445277676742173,0.6773099773242625,0.6352022529441885,0.038935716506709225,4.0,0.0,2.092836646677773,1.4153462926807447,0.0,1.3063253678127449,0.0,0.0,0.1987179487179487,0.0,3.0,0.0,7.140186915887851,1.9642838936755733,0.1250145716296406,0.07488376985306455,0.04068808229813665,0.03823166482879946,2.003205128205128,0.0,0.25,0.02732934490278024,0.32312157383786905,0.6403225806451613,0.09478228097621781
mfeat-factors,0.04645778547034175,0.08506217465368472,3.524252637219526,0.12456779410459584,0.108,0.191,0.005163977794943227,0.927063801426353,0.0481679084994978,0.0,0.0874993677750014,0.02844954552737273,3.321928094887362,0.24962607000660886,0.1968692547389678,724.1860985179496,1725.1678665991856,4581.543057130416,28058.77938292361,0.22599999999999998,0.0401939741199543,5.317720790061521,0.1,0.0,308.9061670678106,348.44912811285946,1207.0819047396908,304.2240827859103,345.87727104376927,9.25925925925926,69.26041666666667,66.23977021722096,6.2214905262773845,0.18509946271053285,-0.3200812124026754,0.5393288166895035,119,10.15126050420168,3.2900431594257986,0.008403361344537815,0.021809681152998136,60972.54751522985,135700.60142374417,0.1,0.03746596768262791,89.28822582027873,0.9809999999999999,0.008432740427115686,49.47147916666666,47.52937216736205,474.6111111111111,480.6303193473847,318.27038888888893,346.74519592263925,318.1134259259259,348.94240193106043,188.0601851851852,237.6882090743855,0.6246902058295036,0.17937539038744496,0.9245000000000001,0.015356865999719246,118,0.5462962962962963,0.059,6.9411764705882355,4.866602873608218,1.3111111111111111,0.5537298340243545,216,0,0,10,0.11119724375538328,9,2000,1.0,216,131,4.641600595514056,,0.9475,0.01874536979866997,7.753586806509452,0.19849999999999998,0.002415229457698242,286.5509259259259,267.6121754783495,24.89475597202957,49.581313183956304,46.185625019164064,,0.02751918990868509,0.4249703134101653,0.018878346760377675,0.018914304438202193,317.9185185185185,348.0111192226217,9.19831223628692,3.5076667391505225,0.05794740103495281,0.08406005474385565,0.04030512962020746,0.07319828968469247,4581.543057130418,5584.125415981536,0.004629629629629629,0.015209933470304847,3.2064386956221883e-09,0.1965,0.004743416490252573
mfeat-fourier,0.011374088177003496,0.006787068440526102,3.584956441221679,1.4726575779465782e-06,0.038,0.191,0.008096638534327412,0.7214369787874415,0.23007354764938845,0.0,0.038622349089140175,0.034718768067232376,3.321928094887362,0.14589066038128862,0.10352045337399217,0.0007167773171461904,0.0009834523779476115,0.0055202826849699675,0.012127960943888266,0.22249999999999998,0.029556913084946995,11.401216482645072,0.1,0.0,0.11176989956186348,0.05890530497567272,0.797043009074108,0.08415997438098963,0.04566589766420451,26.31578947368421,0.0959872591118421,0.053104807527475296,6.6155184261905084,0.230406794841845,0.11259554101330853,0.6362908601643319,237,11.19831223628692,3.412141410286261,0.004219409282700421,0.012427772806810965,329625.77664647007,829287.1153354433,0.1,0.05213622341980134,30.989930256418454,0.806,0.023897931105246528,0.06997288616407896,0.03795016888764272,0.3819513794736842,0.14996471638605519,0.13203208401769737,0.06846331864492629,0.1262276590789474,0.0698719976883466,0.003192156710526316,0.002479226632292895,0.2913661099185337,0.23040676021179654,0.766,0.026012817353502252,236,3.1052631578947367,0.118,12.421052631578947,8.53955365392051,3.323943661971831,2.2976674376252846,76,0,0,10,0.00631578947368421,9,2000,0.0,76,69,11.303958213342096,,0.827,0.021239376429431963,5.1077125278813655,0.13800000000000004,0.011105554165971789,0.37875922276315793,0.14835346525342397,16.40390119780509,0.0671079516668835,0.03209926657758911,2.100858788656289,0.5438839049092433,0.2488123124334294,1.6084735963029035e-06,5.295566083550239e-07,0.12739265661875,0.06888200686591843,10.224101479915433,3.651168040158741,0.05177755979564009,0.07517646502618044,0.023157353139627836,0.04941805615784587,0.005520282684969967,0.0058788737976118435,0.013157894736842105,0.027313963938774364,5.040807615360068e-05,0.13799999999999998,0.01735255344642716
breast-w,0.20289672936525172,0.09581705165943688,1.8482951015043296,0.5849453344491474,0.012875536480686695,0.9099378881987578,0.04512887687921075,0.9147446319818553,,0.0,0.2489555074599918,0.10162204904043672,0.9293179372497983,0.6006207595997346,0.1321740523356073,4.663627473274869,1.8421929463740103,7.812611778573544,15.295134162318535,0.8369979296066251,0.07491741623148297,1.8825571318517653,0.5,0.21951669744990102,2.2423133533591466,0.6302934876316029,13.257350956350372,1.7386884035824233,0.48164671659095404,77.66666666666667,3.0,1.3228756555322954,2.2839664335455625,0.5278044653068655,1.6558852386579168,4.1624783626967075,33,5.9393939393939394,1.638203931509176,0.0303030303030303,0.10342408603880533,483.0095238095238,360.6400508242303,0.5,0.1499923475244192,5.125864777029406,0.9571428571428571,0.04151332327181595,0.4942,1.0483565137871753,10.0,0.0,3.135704100282237,0.7487551245683272,1.6666666666666667,1.1180339887498947,1.0,0.0,0.49364660520856574,0.13706370340193694,0.9585300207039337,0.028906206220533897,32,3.5555555555555554,0.045779685264663805,4.0,1.8516401995451028,3.5555555555555554,2.1278575558006176,9,0,0,2,0.75,1,699,0.0,9,5,2.7441665393878782,,0.9499585921325051,0.041077825484426296,0.8367577417396199,0.7896894409937889,0.03696936522538179,9.0,0.0,5.125864777029406,2.746413265542141,0.5509575279512553,1.4481782824565717,1.4724234749337646,0.841281453225147,0.09893539019613519,0.005077371625575981,2.2329676682173525,0.8563710834444351,5.046153846153846,1.9877025779682278,0.13833794205751324,0.11078048708685809,0.12878787878787878,0.10722854072559738,7.812611778573544,2.915764600555423,0.1111111111111111,0.23484011067626206,0.16324225826038008,0.8327743271221533,0.08427498868419177
mfeat-karhunen,0.008882331699307336,0.0038891973174190455,3.5849565906921574,1.0831206646577665e-06,0.032,0.188,0.0075277265270908165,0.8098470653325872,0.1144680136169812,0.0,0.036046468144852184,0.02517886417733165,3.321928094887362,0.1072004660490464,0.08336768154338596,0.5524602893457023,0.9243396345741862,6.491588677205074,13.013808957019451,0.2795,0.02629427483101385,12.06035335179629,0.1,0.0,,,18.49833337249563,,,31.25,2.9604338379296875,2.05382807546251,6.631442665102352,0.1808659862193914,-0.0514900121007718,0.25343786689836234,187,9.176470588235293,2.2108924760822184,0.0053475935828877,0.015090124666734633,26128.43885003885,38974.23548175736,0.1,0.02297322441190541,29.175618867668103,0.951,0.011972189997378636,2.182102207215,1.4923378033998846,6.893724891875,3.9036383210531334,0.05308473924664062,0.7394593795167501,0.04568855382812502,0.7425866299063965,-6.7565145228125,3.3739291081874154,0.27544202047716854,0.18086576650133496,0.9390000000000001,0.021959558789334102,186,2.90625,0.093,13.285714285714286,10.483896599646904,3.263157894736842,2.295386022542004,64,0,0,10,0.000496031746031746,9,2000,28.0,64,61,12.015285701439717,,0.974,0.011972189997378658,6.007493832181572,0.15550000000000003,0.013218253372598902,13.6502394146875,7.023282595502795,10.861036795391486,2.1526628287026788,1.3737240029177478,1.9060359245845857,-0.00427923625665644,0.1644583897068151,1.517067369877409e-06,5.363521576058539e-08,0.0462514596875,0.7426381825565573,8.203753351206434,2.5718256064036544,0.07902781275950745,0.08729308586257788,0.032918511864973264,0.04547857382230283,6.491588677205074,9.75555816406087,0.015625,0.029789535095905154,1.2563704282949622e-05,0.14699999999999996,0.019888578520235057
mfeat-morphological,0.24982278901589208,0.2026091096762923,2.6010475566519244,1.1132058016888198,0.003,0.198,0.004830458915396484,0.6018713397624923,0.3431770426417811,0.0,0.4526141720697969,0.32442236417451015,3.321928094887362,0.5727573352912986,0.32130961022416693,6498.553949737279,23504.324454505186,2353407.43487324,5764630.132249049,0.2855,0.07289452044640332,2.6815162440882383,0.1,0.0,860.9859275544521,2033.4180227197583,2168.300552755149,695.1521016090242,1628.2990501698819,333.3333333333333,1006.6428627587501,2443.6534248376815,4.684151123733051,1.0208476961344437,-0.540357257851879,0.412796555442899,516,16.166666666666668,7.25909762862279,0.0019379844961240314,0.0067139928513162824,15316842150.577106,99015014148.51967,0.1,0.0857018728439104,44.991327575537575,0.7389999999999999,0.018973665961010293,708.3668575965311,1721.292533755333,2969.839272355,7154.2448875066675,1052.6997316402774,2500.4761690402534,901.6869907466667,2133.7224857773595,256.69782190666666,580.8272604590048,1.2388245278062355,0.2767973267980225,0.6944999999999999,0.026920665337658745,515,85.83333333333333,0.2575,14.305555555555555,12.82145399475748,85.83333333333333,88.089537782115,6,0,0,10,0.7333333333333333,6,2000,0.0,6,1,1.0996093460128469,,0.445,0.02943920288775948,2.7623470707467788,0.199,0.002108185106778922,2713.141450448333,6574.397169899063,39.95986418375517,630.9070825140196,1531.8082209363765,,0.5307700993518086,0.36634179516513604,0.1069700579873133,0.13428191820603494,960.9828335317335,2278.1421325409597,15.183317167798254,7.376316933943832,0.02606408106142219,0.04920708504781749,0.009795060998790846,0.036087349909660435,2353407.4348732415,5764339.809215965,0.16666666666666666,0.07725928004941357,0.0015175958808920792,0.1975,0.0048591265790377544
mfeat-zernike,0.025694057336358166,0.054852710529770615,3.584956726082243,1.795561255245292e-15,0.0235,0.185,0.007817359599705717,0.7160985586972515,0.25578564820359856,0.0,0.05397938200340831,0.02411376993342046,3.321928094887362,0.2577673468649649,0.21297227886581258,386.5446035561373,828.0089360777957,2910.4386186554443,7370.016572640172,0.1835,0.018863545089227877,8.330996171658219,0.1,0.0,76.10954922235662,100.61616211231592,532.6752210221024,59.27453675011991,97.41204915429475,42.5531914893617,56.50728719276595,51.86985380620136,6.508141618303341,0.17153442572347957,0.7268303504961955,1.4168759180277448,344,15.421511627906977,9.430408110216058,0.0029069767441860473,0.00957356407121698,17988867776421.33,166102706838699.6,0.1,0.0728898615388267,20.23785046785171,0.8140000000000001,0.03264284845958689,40.98755702567891,37.670969851165694,221.22523790510638,207.45851057764443,88.63642941472713,105.16803471792882,83.48502914585106,103.68203413984314,13.034599618723405,49.82700295491813,0.3987432026662615,0.17153442572347957,0.7265,0.018416478128748373,343,7.297872340425532,0.1715,7.145833333333333,9.034189394416323,7.297872340425532,3.8948957323601676,47,0,0,10,0.1267345050878816,9,2000,0.0,47,40,7.990640347248165,,0.7995,0.022167293224227624,5.138584694530008,0.1855,0.010916348595875213,208.190638286383,186.03906133132602,7.218153668562916,40.125452921755205,36.45073279651477,,0.7896442267750822,0.48693065342941755,1.591106059069886e-06,2.895691464151629e-07,84.67692958992872,104.00831986604496,14.445414847161572,9.515347665252422,0.020437158907431807,0.04859607966451065,0.016117401285116482,0.04233252731926952,2910.4386186554443,3886.029216633387,0.021276595744680847,0.026470911229856176,0.00011890896299392102,0.15,0.021730674684008827
cmc,0.031597799723869564,0.04344457057185395,1.6288736914132544,0.9841619176711811,0.006109979633401222,0.4270224305938591,0.00229587120626198,0.34056342885397906,0.08953992512017449,3.5,0.01831908469763409,0.009382836110252209,1.5390345832497476,0.13204811926842985,0.13243790825300988,0.12397479426011873,0.8498749068293734,4.217672277730224,16.300750968539845,0.4209229637801066,0.012399624758834762,41.59348914497952,0.3333333333333333,0.10116094146234017,1.7496052232123938,7.4229463063973204,1.3830889587902224,1.692003461930713,7.17856273033393,163.66666666666666,1.3333333333333333,3.009787954227301,3.130906459838445,0.9628484619090976,3.2280596130265287,11.878388258526895,703,13.06827880512091,2.986370420230776,0.0014224751066856329,0.002764025343870226,2431573.923432055,7124807.022224277,0.3333333333333333,0.03737438861818596,0.27817808675641914,0.5084896120610407,0.032475288887689226,0.6589333333333333,2.1707769538875734,4.5,11.653073313382132,2.281134494983782,7.586022729806465,2.111111111111111,7.498147919467995,0.8888888888888888,3.7712361663282534,0.037001814824556854,0.02553453511854273,0.42840136054421774,0.04020459013246756,702,39.0,0.47657841140529533,33.42857142857143,31.460405955059496,39.0,53.62176906487755,9,3,7,3,0.032679738562091505,2,1473,0.0,2,9,43.021454059389164,0.2857142857142857,0.45004596433167865,0.03965450632730475,0.239984296336085,0.4270224305938591,0.00229587120626198,3.611111111111111,8.13951067245004,0.1949104610403408,0.9406304024120844,1.8785470140539846,,1.189155803760808,1.9601035318710698,0.28796977124183004,0.179168581406258,2.1715003138731954,7.465282982865377,12.078291814946619,3.283103152627828,0.045881171121769704,0.055074406975768174,0.007733601424975551,0.030127978954078122,4.21767227773022,15.890929148350576,0.05555555555555555,0.08163740282447317,0.7725540482964423,0.4270224305938591,0.00229587120626198
optdigits,0.060256439881469594,0.15069401239193675,2.1819868595250167,1.390175512105232,0.011387900355871887,0.19466192170818503,0.0035784349060494322,0.7963519728380145,0.12539697646661463,0.0,0.11958092201096657,0.09112308094167103,3.3218327248667654,,,2.2359895100111027,3.5836040966434064,18.81369800483901,36.94660054320213,0.1713523131672598,0.026097945639954108,10.60647161861104,0.09999999999999999,0.0012126363167414508,,,37.19638178638707,0.0,0.0,87.8125,6.0,5.151667937637532,5.190630350090906,1.222647861123,162.9874542218424,478.7393314411742,366,10.857923497267759,2.908001253913319,0.00273224043715847,0.01054671290026784,330973.54046957515,991818.5861063717,0.1,0.03972359802851433,24.92720613311539,0.9469750889679716,0.01161667204967508,3.6370031249999997,3.716414863901096,13.390625,5.016218734946214,4.911243327402135,4.2227784915451965,4.765625,5.070118459215346,0.0,0.0,0.3131892343008761,0.20501090406267905,0.7905693950177936,0.02315523330941611,365,5.703125,0.06494661921708185,19.210526315789473,16.403180407633762,7.448979591836735,3.6745817476834235,64,3,0,10,0.02827380952380952,9,5620,2.0,64,29,5.966991903140628,,0.9843416370106762,0.0054230744724377035,5.833383395442728,0.10142348754448398,1.4628472785736255e-17,13.390625,5.016218734946214,6.699432313798011,3.6862924649286324,2.303884006747176,,5.278017490256569,11.161111914945508,0.12412652037062682,0.18835427932942186,4.778145388493476,4.756955274242546,9.874145006839946,3.2041115154753506,0.057851862102312336,0.08311150596278734,0.018557699651666027,0.03125803032432,18.81369800483901,14.952573922455107,0.015625,0.02606862169587331,2.357248282002324e-05,0.10142348754448398,1.4628472785736255e-17
credit-approval,0.03431135378879641,0.047715719132771825,1.8532189917384865,1.0332684550384905,0.021739130434782608,0.855072463768116,0.1843360775684919,0.7865321396785006,,1.5,0.06834054181527785,0.1364595735511228,0.9912308989033523,0.07338936160802914,0.13032851116199493,75.72622436299675,1962.3140181636327,631977.0055901413,4139513.5953938435,0.5521739130434782,0.2246714431020603,10.314507637554625,0.5,0.07788422517417042,0.6893251510089495,4.520207300996378,1840.5905822636973,0.6506950867035546,4.26689302912392,46.0,14.423372093023257,66.30099359550434,2.7483492396234293,1.0411191733905516,53.773632687831196,85.41521744918477,93,8.301075268817204,2.5400485541257876,0.010752688172043012,0.025590674716950167,9732.521878121877,13979.32972017999,0.5,0.007603298722435988,1.62214479297706,0.8521739130434781,0.18227354669847265,3.9623346976744185,22.61212430040663,2377.6918604651164,15244.761444688722,29.02173576261312,156.88559325566115,4.683139534883721,24.64697697157218,0.31976744186046513,2.0968553420733143,0.09610065101840909,0.11199071061064539,0.8057971014492754,0.06665966496873561,92,2.13953488372093,0.13333333333333333,7.076923076923077,4.19248411767094,3.5384615384615383,4.492044249388194,15,3,9,2,0.024363233665559245,1,690,0.0,6,37,18.284146070805313,0.6666666666666666,0.6608695652173913,0.056832622878657944,0.6186328067472403,0.5550724637681159,0.007000665094777484,2377.3720930232557,15244.810926334205,1.62214479297706,125.96924804269757,794.2153424535429,,5.326706891315659,5.078245895039115,0.1922900910830751,0.1989067534114124,6.835395184627065,28.32217714620534,7.351351351351352,2.8266608836012352,0.08009271120849602,0.08271200303202693,0.05651461693548387,0.06913308208500213,631977.0055901431,4139493.587886461,0.023255813953488372,0.08028238643901915,0.38136719325275964,0.5550724637681159,0.007000665094777484
